instance_id,natural_strict_prefix_reusable_tokens,segment_reuse_potential_tokens,cdf_canonical_prefix_reusable_tokens,raw_cdf_canonical_prefix_reusable_tokens,cdf_added_reusable_tokens,natural_reusable_ratio,cdf_reusable_ratio,block_prefix_mode,estimated_prefill_saved,num_llm_events,total_prompt_tokens_after_first
astropy__astropy-12907,117169,122869,117169,52701,0,0.8822900429966641,0.8822900429966641,true,0.0,38,132801
django__django-11815,148860,154367,148860,69914,0,0.8788522848034006,0.8788522848034006,true,0.0,39,169380
django__django-11848,119101,130337,121049,77039,1948,0.8750799027207335,0.8893925923748925,true,0.10470241109977349,38,136103
django__django-11964,177239,206493,177239,39565,0,0.8054853662970369,0.8054853662970369,true,0.0,40,220040
django__django-11999,153909,137676,153909,77542,0,0.8698470650736416,0.8698470650736416,true,0.0,40,176938
django__django-12125,114493,117010,114493,65529,0,0.8969782910147834,0.8969782910147834,true,0.0,40,127643
django__django-12308,121112,132887,123106,93690,1994,0.8501295073106702,0.8641261239760499,true,0.1065329896742678,39,142463
django__django-12708,130451,130913,130451,58439,0,0.8969341519929044,0.8969341519929044,true,0.0,38,145441
django__django-13028,130184,131388,130184,38981,0,0.8820890870407763,0.8820890870407763,true,0.0,39,147586
django__django-13033,178392,181173,178392,47121,0,0.9001332095426472,0.9001332095426472,true,0.0,40,198184
