run_id,instance_id,num_llm_events,num_tool_events,num_verifier_events,missing_timing_events,unknown_verifier_results,official_verifier_results,branch_count,has_at_least_2_llm,has_at_least_1_tool,timing_available,measured_agent_jct
mini_swe_lite10_r4,astropy__astropy-12907,39,39,4,82,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-11815,39,39,4,82,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-11848,38,38,4,80,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-11964,40,40,4,84,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-11999,40,40,4,84,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-12125,40,40,4,84,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-12308,36,36,4,76,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-12708,40,40,4,84,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-13028,39,39,4,82,4,0,4,true,true,false,0.0
mini_swe_lite10_r4,django__django-13033,40,40,4,84,4,0,4,true,true,false,0.0
