row_type,event_id,repo_family,prev_tool_class,actual_tool_class,pred_top1,pred_top3,actual_safe,train_rows,validation_rows,top1_accuracy,top3_accuracy,safe_top1_accuracy,safe_top3_accuracy,coverage,safe_coverage,false_safe_rate,false_unsafe_rate,regression_note
example,astropy__astropy-12907:b0:tool1,astropy,python_inspect,python_inspect,list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b1:tool5,astropy,file_read,git_read,list_find,"[""list_find"", ""file_read"", ""shell_other""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b2:tool7,astropy,shell_other,shell_other,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b2:tool8,astropy,shell_other,shell_other,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool3,astropy,python_inspect,shell_other,list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool7,astropy,shell_other,shell_other,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",false,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool9,astropy,shell_other,shell_other,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",false,,,,,,,,,,,
example,django__django-11815:b0:tool5,django,file_read,file_read,list_find,"[""list_find"", ""file_read"", ""shell_other""]",false,,,,,,,,,,,
example,django__django-11815:b0:tool6,django,file_read,list_find,list_find,"[""list_find"", ""file_read"", ""shell_other""]",true,,,,,,,,,,,
example,django__django-11815:b1:tool5,django,python_inspect,list_find,list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",true,,,,,,,,,,,
example,django__django-11815:b1:tool6,django,list_find,python_inspect,list_find,"[""list_find"", ""file_read"", ""python_inspect""]",true,,,,,,,,,,,
example,django__django-11815:b2:tool2,django,grep_search,grep_search,grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11815:b2:tool7,django,file_read,git_read,list_find,"[""list_find"", ""file_read"", ""shell_other""]",false,,,,,,,,,,,
example,django__django-11815:b2:tool8,django,git_read,file_read,list_find,"[""list_find"", ""shell_other"", ""file_read""]",true,,,,,,,,,,,
example,django__django-11815:b3:tool7,django,grep_search,grep_search,grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11815:b3:tool8,django,grep_search,grep_search,grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11848:b0:tool5,django,grep_search,shell_other,grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",false,,,,,,,,,,,
example,django__django-11848:b0:tool7,django,shell_other,file_read,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11848:b1:tool3,django,shell_other,file_read,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11848:b1:tool6,django,test,test,list_find,"[""list_find"", ""shell_other"", ""file_read""]",false,,,,,,,,,,,
example,django__django-11848:b1:tool9,django,shell_other,shell_other,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",false,,,,,,,,,,,
example,django__django-11848:b2:tool3,django,shell_other,file_read,shell_other,"[""shell_other"", ""file_read"", ""list_find""]",true,,,,,,,,,,,
example,django__django-11848:b2:tool4,django,file_read,shell_other,list_find,"[""list_find"", ""file_read"", ""shell_other""]",false,,,,,,,,,,,
example,django__django-11848:b3:tool6,django,git_read,file_read,list_find,"[""list_find"", ""shell_other"", ""file_read""]",true,,,,,,,,,,,
example,django__django-11964:b1:tool5,django,file_read,shell_other,list_find,"[""list_find"", ""file_read"", ""shell_other""]",false,,,,,,,,,,,
aggregate,,,,,,,,371,95,0.4105263157894737,0.7894736842105263,0.5853658536585366,0.7804878048780488,0.20386266094420602,0.43157894736842106,0.5684210526315789,0.0,
