row_type,event_id,repo_family,prev_command_class,actual_command_class,actual_canonical_tool_key,exact_top1,exact_top3,class_top1,class_top3,safety_level,train_rows,validation_rows,exact_top1_accuracy,exact_top3_accuracy,class_top1_accuracy,class_top3_accuracy,safe_exact_top1_accuracy,safe_exact_top3_accuracy,sandboxed_coverage,read_only_coverage,coverage,class_hits_are_potential_only
example,astropy__astropy-12907:b0:tool1,astropy,python_inspect,python_inspect,python_inspect:shell-chain:9cefcfb3f67b0b5b,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]",list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,astropy__astropy-12907:b1:tool5,astropy,file_read,git_read,git_read:git -- diff astropy/modeling/separable.py > patch.txt:d49c0e41c5fb8c33,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,astropy__astropy-12907:b2:tool7,astropy,file_read,shell_other,shell_other:nano astropy/modeling/separable.py:9150b3b3304121c2,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:14dc06def76579e8"", ""list_find:ls -la tests:df5d252518413793""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNKNOWN,,,,,,,,,,,,
example,astropy__astropy-12907:b2:tool8,astropy,shell_other,shell_other,shell_other:vim astropy/modeling/separable.py:4df1725e10381f13,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim astropy/modeling/separable.py:4df1725e10381f13"", ""shell_other:vim django/utils/http.py:1b3c527783358e14""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",UNKNOWN,,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool3,astropy,python_inspect,shell_other,shell_other:pip install erfa:736717e2e94d5308,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""python_inspect:shell-chain:598af496e777fed2""]",list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool7,astropy,shell_other,shell_other,shell_other:pip install erfa:736717e2e94d5308,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""shell_other:vim astropy/modeling/separable.py:4df1725e10381f13""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",UNSAFE,,,,,,,,,,,,
example,astropy__astropy-12907:b3:tool9,astropy,shell_other,shell_other,shell_other:pip install erfa --index-url=https://pypi.org/simple:fa3e38745224b858,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""shell_other:vim astropy/modeling/separable.py:4df1725e10381f13""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",UNSAFE,,,,,,,,,,,,
example,django__django-11815:b0:tool5,django,file_read,file_read,file_read:shell-chain:0cc2bff162f39489,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,django__django-11815:b0:tool6,django,file_read,list_find,list_find:ls -la:1de700c29687cae3,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11815:b1:tool5,django,python_inspect,list_find,list_find:ls -la:1de700c29687cae3,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""shell_other:pip install asgiref:aae2c8b894e02d45""]",list_find,"[""list_find"", ""python_inspect"", ""shell_other""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11815:b1:tool6,django,list_find,python_inspect,python_inspect:python -m venv venv source venv/bin/activate pip install -e .:a47c3a70b51c3108,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:echo from enum import Enum from django.db import models class Status(Enum): GOOD = 'Good' BAD = 'Bad' class Item(models.Model): status = models.CharField(default=Status.GOOD.value, max_length=128) > models.py python manage.py makemigrations > migration_output.txt cat migration_output.txt:1b07ba77fb8edb72"", ""python_inspect:python /testbed/manage.py makemigrations:2264180a9c127a9b""]",list_find,"[""list_find"", ""file_read"", ""python_inspect""]",UNSAFE,,,,,,,,,,,,
example,django__django-11815:b2:tool2,django,grep_search,grep_search,grep_search:grep -r Status\. .:dff15926d73d60b2,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""shell_other:nano django/utils/http.py:82fe7040c6b6bfa6""]",grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11815:b2:tool7,django,file_read,git_read,git_read:git diff > patch.txt:8d71c1aab48b1746,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,django__django-11815:b2:tool8,django,git_read,file_read,file_read:cat patch.txt:cb7e5fa551f9866a,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11815:b3:tool7,django,grep_search,grep_search,grep_search:grep -r default= /path/to/project:fedadc4595d818e7,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""shell_other:nano django/utils/http.py:82fe7040c6b6bfa6""]",grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11815:b3:tool8,django,grep_search,grep_search,grep_search:grep -r default= .:9d44bc87efdf5146,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""shell_other:nano django/utils/http.py:82fe7040c6b6bfa6""]",grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11848:b0:tool5,django,grep_search,shell_other,shell_other:nano django/utils/http.py:82fe7040c6b6bfa6,shell_other:nano django/utils/http.py:82fe7040c6b6bfa6,"[""shell_other:nano django/utils/http.py:82fe7040c6b6bfa6"", ""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60""]",grep_search,"[""grep_search"", ""shell_other"", ""list_find""]",UNKNOWN,,,,,,,,,,,,
example,django__django-11848:b0:tool7,django,shell_other,file_read,file_read:cat django/utils/http.py:2384f1e9aeda64c2,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""file_read:cat django/utils/http.py:2384f1e9aeda64c2""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11848:b1:tool3,django,shell_other,file_read,file_read:cat django/utils/http.py:2384f1e9aeda64c2,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""file_read:cat django/utils/http.py:2384f1e9aeda64c2""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11848:b1:tool6,django,test,test,test:pip install pytest:03ebbfac5dd3749c,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""shell_other:mkdir testbed touch testbed/test_parse_http_date.py nano testbed/test_parse_http_date.py:9941b8e71302610b""]",list_find,"[""list_find"", ""shell_other"", ""file_read""]",UNSAFE,,,,,,,,,,,,
example,django__django-11848:b1:tool9,django,shell_other,shell_other,shell_other:vim testbed/test_parse_http_date.py:2e9e02a80881e37d,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""shell_other:vim django/contrib/admin/utils.py:5569b15596860cd4""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",UNKNOWN,,,,,,,,,,,,
example,django__django-11848:b2:tool3,django,shell_other,file_read,file_read:cat django/utils/http.py:2384f1e9aeda64c2,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""shell_other:vim django/utils/http.py:1b3c527783358e14"", ""file_read:cat django/utils/http.py:2384f1e9aeda64c2""]",shell_other,"[""shell_other"", ""file_read"", ""list_find""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11848:b2:tool4,django,file_read,shell_other,shell_other:nano django/utils/http.py:82fe7040c6b6bfa6,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""grep_search:grep -r def parse_http_date .:4e66ded3caa69022""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNKNOWN,,,,,,,,,,,,
example,django__django-11848:b3:tool6,django,git_read,file_read,file_read:cat patch.txt:cb7e5fa551f9866a,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la /testbed:8794b88ad5ddaf60"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11964:b1:tool5,django,file_read,shell_other,shell_other:shell-chain:ad6ae747ffc3e2af,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,django__django-11964:b2:tool0,django,START,file_read,file_read:sed -i s/return cls.value/return cls.label testbed/models.py:2fc650df8972a057,shell_other:nano django/contrib/admin/utils.py:f4e3540b92964c01,"[""shell_other:nano django/contrib/admin/utils.py:f4e3540b92964c01"", ""list_find:ls -la:1de700c29687cae3"", ""grep_search:grep -r def parse_http_date .:4e66ded3caa69022""]",grep_search,"[""grep_search"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
example,django__django-11964:b2:tool4,django,list_find,file_read,file_read:sed -i s/return cls.value/return cls.label tests/pkg/models.py:6a0a93e08efecac5,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:69e59bc355f044d3"", ""list_find:ls -la tests:df5d252518413793""]",list_find,"[""list_find"", ""file_read"", ""python_inspect""]",UNSAFE,,,,,,,,,,,,
example,django__django-11964:b2:tool5,django,file_read,list_find,list_find:ls -la tests:df5d252518413793,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11964:b2:tool7,django,list_find,list_find,list_find:ls -la tests:df5d252518413793,list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""file_read:shell-chain:69e59bc355f044d3"", ""list_find:ls -la tests:df5d252518413793""]",list_find,"[""list_find"", ""file_read"", ""python_inspect""]",SAFE_READ_ONLY_EXACT,,,,,,,,,,,,
example,django__django-11964:b3:tool1,django,file_read,file_read,"file_read:sed -i -i . s/FIRST_CHOICE = ""first""/FIRST_CHOICE = ""first"", ""First Choice""/g testbed/models.py sed . s/SECOND_CHOICE = ""second""/SECOND_CHOICE = ""second"", ""Second Choice""/g testbed/models.py:bc0d0cb734c9cbb0",list_find:ls -la:1de700c29687cae3,"[""list_find:ls -la:1de700c29687cae3"", ""list_find:ls -la tests:df5d252518413793"", ""file_read:shell-chain:14dc06def76579e8""]",list_find,"[""list_find"", ""file_read"", ""shell_other""]",UNSAFE,,,,,,,,,,,,
aggregate,,,,,,,,,,,371,95,0.11578947368421053,0.28421052631578947,0.4,0.7894736842105263,0.2,0.525,0.0,0.42105263157894735,0.20386266094420602,true
